Order,AoA,Mach,Reynolds,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40
2,-7,1,3000,-12.455785073328087,-1.5856529914286548,0.8165547289472328,0.6554864749152884,0.2333825976182889,-0.4112441485261129,0.4574706562786236,-0.4485160591169694,0.1128290210305795,-0.0451953988052318,0.0224058755458821,-0.0213983043097008,-0.0716889877408741,0.1865468381448378,-0.0567732261448361,-0.0412994233441326,0.025485973841526,-0.0903995569154576,0.052355541080616,-0.031218998792759,0.0888945467492304,-0.0844775729635472,0.0012791424364185,-0.0049774703883709,0.0110104245732681,-0.0002805515290914,-0.0212871052065186,-0.0433872658111951,0.0143699309460402,0.0066316263682491,-0.0389489152377761,0.0059980531729001,0.0131079085194664,0.0042858154518458,0.0093875396498763,0.0009147785201983,-0.0177715560196187,-0.0121090457047281,-0.0082556138858807,-0.0236086519884011
4,-7,1,3000,-12.479736545995516,-1.68767976607761,0.8823082837429803,0.6004833188646099,0.1781944230527359,-0.4475365959813657,0.5938618702994312,-0.282515492258072,0.054679870658356,-0.1250675677938736,0.1226070231506014,-0.0475069151422845,-0.1592314218505806,0.1651488811903305,-0.0533923762045923,-0.0327640097041429,0.0255994936820507,-0.0636469425100938,0.0331526267559237,-0.0074000887733388,0.0036454565729973,-0.065315021847166,-0.0092072321059824,-0.0103692613327975,0.007791119676003,0.0006357124771135,-0.0033764078382382,-0.0090733408561423,-0.0136023623998987,0.0223986048167992,-0.023222950200089,0.0252626782480924,0.0021514349250705,-0.0150274215281696,0.0332473048903997,-0.0199710845559613,-0.0023742945863558,-0.0085882961917721,-0.0209734364632577,-0.0009066557953571
2,-7,1,4000,-12.369615034258842,-1.6823483709703142,0.7347249580679533,0.5631751033726555,0.299833761818575,-0.4454896908295067,0.4972519122891026,-0.424212693411882,0.0733354303676165,-0.0284161930063942,0.0141593522764311,-0.0281763134080083,-0.0376280021770947,0.1772630210790358,-0.0369803448040974,-0.037520798499514,0.0334091556256356,-0.0550840670166363,0.0536171074168163,-0.0166618964391215,0.0683003017913791,-0.0770097752287399,-0.0001394630359729,0.0165811863731184,-0.0004482182362228,0.0015472522716647,-0.0175981483515747,-0.0329543186873065,0.0252366777086222,0.00441429618476,-0.0349243742292831,-0.0033486376270759,0.0074491678524475,0.0110312788290037,0.0052188683329007,0.0019846471944829,-0.0171796331087541,-0.0046228748989811,-0.0007730251788779,-0.0173759047107686
4,-7,1,4000,-12.397450051956524,-1.8055112927870216,0.8192546476218765,0.4704948078613076,0.2345958800663438,-0.5035191956256986,0.662705637212053,-0.2187068711797531,0.0105176824967787,-0.1083064577801759,0.1292410177797713,-0.0714563086448406,-0.1261790083213735,0.1584478878793211,-0.0331409524185392,-0.0147900583014493,0.0370535698730548,-0.0244845359917063,0.036264119390089,0.0087837508601952,-0.0348815555806292,-0.0505144776738265,-0.0046120578305792,0.0023893817216815,0.0046378503562163,0.0034350793878186,-0.0054033631060345,-0.0061549725141449,-0.0122196812323751,0.020528833019607,-0.0153238257585042,0.0179478835517682,-0.0054090485050211,-0.0043921704252086,0.032528891407818,-0.0198158138991669,0.0030782357643421,-0.0092694203894644,-0.0093481282904034,0.0056201715665303
2,-7,1,5000,-12.310141149251905,-1.7543367560524443,0.6778616287566082,0.4899931870312708,0.351654959676816,-0.4748993860034967,0.5277462322340721,-0.4026383780732543,0.0425866811508133,-0.0115121457423917,0.009360778478588,-0.0324498214918194,-0.0124358913534267,0.1729366374419736,-0.0220848251012326,-0.029213877654677,0.0417055961791406,-0.0304123518184842,0.0518605095689809,-0.0085780762795925,0.0525272319829177,-0.071266895636685,-0.0002482247852974,0.0349077112386757,-0.0070747622656777,0.00271045859629,-0.0152342215391406,-0.0260029567670743,0.0341864776619399,8.505500195377103e-06,-0.0325906067912364,-0.0089665230236429,0.0033142278669109,0.0144907409870931,0.0021273653760096,0.0030430551288949,-0.0182437429663827,-0.0001413984278428,0.0043970521136985,-0.0128363878575395
4,-7,1,5000,-12.343712129374929,-1.8925916613587088,0.7806519364263709,0.3652748904141932,0.2745989030910666,-0.5514204208635227,0.7180948791260998,-0.1653948837960474,-0.0204282607571963,-0.0857035429746568,0.1361073496998982,-0.0927755388453962,-0.1006209385128769,0.1578567817286358,-0.0163895134626025,0.0091981693401121,0.0486136395620975,0.0009940835450541,0.0366023352691999,0.0144352507116014,-0.0646054671662575,-0.0392116914340459,-0.0012476606487906,0.0145289080106886,0.0080923884296506,0.0037599623174056,-0.0106274967261624,-0.0082057040638786,-0.0109161792288852,0.0153420090377816,-0.010595327235975,0.0149390950523746,-0.0094780500794766,0.0006697764171398,0.0298148609733002,-0.0188791561334823,0.006239746103291,-0.0120815439178413,0.0021441421792926,0.0094743301420672
2,-7,1,6000,-12.266257764718173,-1.810917656960517,0.6359346860039627,0.4299307589643834,0.3932185233051934,-0.5001630556136825,0.5524881746731392,-0.3838248842180731,0.0176071787539218,0.0044912344394965,0.0064239962489391,-0.0354938483541148,0.0073600825590053,0.1712342887847231,-0.0102060106378588,-0.019254225636519,0.0497765912480142,-0.0120482667249828,0.0489823320172784,-0.0041853443941542,0.0399827024717226,-0.066698546577157,0.0001127003690472,0.0507377525412208,-0.0110272100328864,0.0034981269751304,-0.0137148047956174,-0.0211004000133271,0.041956543719318,-0.0052973706614459,-0.0312828766903305,-0.0126183726185478,0.0003023040121258,0.0161230523103546,-0.0004771562164773,0.0040822119589136,-0.0199958989858233,0.0028156575673875,0.0083585582295172,-0.0092609804263302
4,-7,1,6000,-12.306621386395689,-1.959909808395085,0.7562999913686275,0.2783466443778791,0.3029086477450024,-0.5921233694901658,0.7642496998019603,-0.1209102038091488,-0.0425336915225094,-0.0618681484961925,0.1420946191790839,-0.1124524330098108,-0.0796158820776443,0.1602485012359775,-0.0020131050987165,0.0346582814251552,0.0593221448683848,0.0177447337684224,0.0365417754575281,0.0147580359225233,-0.0879529811901894,-0.0304131480095417,0.0007830336540352,0.0265144315012592,0.0144859105940174,0.002681926494721,-0.017137078905708,-0.0121429107833191,-0.0089657534026228,0.0090100772034007,-0.0078878428787725,0.013995103631522,-0.0108731927118115,0.0021128521440858,0.0258134004783877,-0.0175052319430335,0.007770959533635,-0.0145935268151431,0.0132560183349597,0.0120292129799509
2,-7,1,7000,-12.23234709047189,-1.857120421909727,0.6036757081525175,0.3793306454711514,0.4273808682816979,-0.5220926635724461,0.573324372764682,-0.3673506106451812,-0.0032837906367044,0.0193533338189585,0.0046040238258634,-0.0378502748456832,0.0235682265145894,0.1710303786006306,-0.0003545783388863,-0.0088242534456546,0.0574173791618375,0.0022432524258495,0.0457495544891228,-0.002021034048047,0.0297025633571984,-0.0629554606157346,0.0006351329819796,0.0646398326641578,-0.0133690315354609,0.0040463430737461,-0.0127583575032883,-0.0175050734902774,0.0488975118259574,-0.0109198989126124,-0.0306337904600787,-0.015140161957473,-0.0019053944111961,0.0166782450656658,-0.0028098893649464,0.0051086498672163,-0.0220591752790695,0.0049399798706474,0.0115909799129517,-0.0063047278255305
4,-7,1,7000,-12.280078565570626,-2.0137880210281303,0.7407797704557035,0.2053585672493306,0.3230150339805688,-0.6268784494594901,0.8036599287399067,-0.0833879229398943,-0.0584405791687961,-0.0383929978385054,0.146915690838375,-0.1307547852588239,-0.0618256854799352,0.1641841320693613,0.0105678946454249,0.0596549796880353,0.0689488148412029,0.0287411955070311,0.0367380644299158,0.0123061758455929,-0.1066726078230144,-0.0234355885535058,0.0016807541649554,0.0384309451240421,0.0220177909017235,0.000910839567829,-0.0239846740863222,-0.0165316259096049,-0.0062508105762759,0.002550770566695,-0.0065429843715584,0.0140088874959996,-0.0103177093717413,0.0012131590338675,0.0213318648165353,-0.0157715429075054,0.0080040726983506,-0.015997554478496,0.023637433502858,0.0137388280362409
