Order,Cd_pres,Cd_visc,Cd,Cd_pres_rel_err,Cd_visc_rel_err,Cd_rel_err,sep_loc,sep_loc_err,AoA,Mach,Reynolds,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,Label
2,0.05643118,0.2126357438,0.2690669237999999,0.1002234742476253,0.0351727506513332,0.0481703126641422,0.294565,0.011824,-7,1,3000,-10.791042992009444,-1.4065742423971264,-0.524822630025441,0.6656796969470724,0.1517320072334546,-0.2794281448536257,0.4861061742845542,-0.0120129983111411,0.2578322984104324,-0.018649805166612,0.016856253464137,-0.1121336987070643,0.0397694312176161,-0.0574563346671255,-0.0565502439876576,0.0325956987740744,-0.0231845332107484,0.0340523056384452,-0.0802546484550408,0.0114812625278238,-0.0099861535699664,0.0023642447326623,-0.0757914899700071,0.0091867004132742,-0.0037638766638055,0.0277863601361868,0.0077148319568849,-0.0271983668791347,-0.0126500978043847,0.0184239153339006,0.0042872804871327,-0.0151151460549477,-0.0024034994851448,0.0025013410769963,0.0088681088966865,0.002119393544048,0.0017299106047076,0.0033055991186514,0.0101416135773142,-0.00239977861747,MISSED
4,0.0512906526,0.2054108782,0.2567015308,0.0,0.0,0.0,0.306389,0.0,-7,1,3000,-10.845357501660466,-1.41342313660438,-0.5812663683849415,0.6916935650361138,0.0851433413346964,-0.2729804234799862,0.4979906918224189,0.0009891279958131,0.182255272766886,-0.0146841600094761,0.0567520799070724,-0.1284562387934042,0.0967140846534897,-0.0547377144622847,-0.1318775295073586,-0.0337964274453603,-0.0070716983694948,0.0029173812926688,-0.0693411225166477,-0.0034921015208597,-0.0078330330303974,0.0031230775506975,-0.0450063497050202,0.0014382092078862,0.0192777030840911,0.0141250063181092,0.0175006972076643,-0.0195241734787094,-0.010335158100944,0.0243368193886172,-0.0076540112186912,-0.0015849022054677,0.0053114080114081,-0.0041998189398759,-0.010920328653756,-0.0118715008183253,0.0130493857191516,0.0110103100083605,0.0080556690325497,0.0027462511181882,CAPTURED
2,0.0545921886,0.1811291781,0.2357213667,0.100928120015722,0.0342433396826311,0.0489582465209383,0.254345,0.031564,-7,1,4000,-10.745163855508602,-1.4782177337528917,-0.504246115457569,0.5806915319908906,0.2206053999016418,-0.3364753225350856,0.4965348958696919,-0.0437550692172892,0.1985608131638821,-0.0152291671579333,0.0185773148829598,-0.1213113701972057,0.0205152011228689,-0.0460735847578989,-0.0365253784294498,0.0437793937923423,-0.0257578525562429,0.033958397884198,-0.0470564712793368,0.0287114329403375,-0.0108182606268477,0.0101934229430134,-0.0550165712695915,0.0044768123643716,-0.0086250637201845,0.0353257591990652,0.0108996040981668,-0.0183421993488833,-0.0126310367107259,0.0065402136788591,0.0135097805205978,-0.0197658680365364,-0.0013836044386892,0.0042262259304448,0.011308648321494,0.0068407801693981,0.0057026711730844,0.0048070423756055,0.0098026121133489,-0.0069325115495706,MISSED
4,0.0495874232,0.1751320711,0.2247194943,0.0,0.0,0.0,0.285909,0.0,-7,1,4000,-10.799968466578225,-1.4843180221650016,-0.5676919601329296,0.6009680979894667,0.1448034571967831,-0.3331080113576317,0.5090866427675155,-0.0279298737865438,0.1207887826732113,-0.0107067717549594,0.0646362785666841,-0.1387170764297957,0.0810610091759109,-0.0392332359514618,-0.118863501385704,-0.0240035939995044,-0.0069500784236103,0.0038705124433331,-0.0376611078020933,0.0098407079158079,-0.0158878692298397,0.0111479183189006,-0.0234514409450485,-0.0042771359332907,0.0176340562732674,0.018522293979838,0.020404819287054,-0.0099919741603603,-0.0091204410536948,0.0125411618364785,-0.0013737675977099,-0.0056375156143568,0.0052041084984412,-0.0044455627319849,-0.0093561364887994,-0.0113412998609268,0.0172987166527162,0.0120992150017454,0.005828275639319,-0.0011099133022944,CAPTURED
2,0.0535431672,0.1604652516,0.2140084188,0.1011256326151936,0.0348777430764775,0.0506932943480838,0.254345,0.0,-7,1,5000,-10.715347705246293,-1.530337008407374,-0.4960364717530605,0.5145815196796255,0.2718624034328713,-0.382138241558174,0.5048452774370845,-0.0690160464856748,0.1482549622160965,-0.0126200626238242,0.0163860441028737,-0.1317864140304149,0.005913175378187,-0.0407474710750679,-0.0196684587723908,0.0516175380420389,-0.0206711437954952,0.0292449687020252,-0.0241500374267133,0.0440719935294579,-0.0081409087025326,0.016220752441191,-0.0384128251846413,0.0025635695168935,-0.0128553450444621,0.041190469781237,0.0118784182731303,-0.015993034252166,-0.0151125435057785,-0.0005359596838298,0.0197693703707121,-0.0229449540957064,-0.0014199196011417,0.0078004587087232,0.0144423704522026,0.0104669085731102,0.0076429316320262,0.0074142826162015,0.0091976851271891,-0.0101217559349547,MISSED
4,0.0486258476,0.1550572062,0.2036830537999999,0.0,0.0,0.0,0.254345,0.0,-7,1,5000,-10.770216353676076,-1.5353770091518015,-0.5638453319279264,0.5299398973830968,0.1897778924146925,-0.3811139377049251,0.5179063070354749,-0.0509827289599392,0.0710644650605085,-0.0077764831908262,0.0661853983078394,-0.149694392671365,0.0687707821263012,-0.0306270542525155,-0.1061690839972714,-0.0176126413081518,0.0007530390230485,0.0007636890046513,-0.0162848046227329,0.0213740130184168,-0.0195078414111145,0.017087402689123,-0.0066428379170651,-0.0071768978967731,0.0155295392640173,0.0221398346978424,0.0209409801023287,-0.0075481067962077,-0.010222897931194,0.0052682170959454,0.0022416841547205,-0.0081587191046184,0.0042690613994184,-0.0022073989523034,-0.0070349641471811,-0.0113322129131679,0.0190132215779481,0.0143159909685234,0.0034492456303736,-0.0038404833136723,CAPTURED
2,0.0529193552,0.1456365302,0.1985558854,0.1031321126844337,0.0356545479210166,0.0528184946612236,0.223284,0.0310609999999999,-7,1,6000,-10.69450438263205,-1.570384911091939,-0.4937806705363872,0.4614571029041417,0.3114198918137938,-0.4193540432945979,0.5120603275533638,-0.0896413848642783,0.1056245305357818,-0.0105677189838461,0.0125341670152939,-0.1423136049828903,-0.0059486757486781,-0.0384961566302661,-0.0051021303799763,0.0575621289891086,-0.0122892778884219,0.0226916731164578,-0.0076076285110027,0.0577245022235124,-0.0037326050685455,0.021178782255874,-0.0248248660370994,0.0020701812612818,-0.0169066415526267,0.0460153975591493,0.011584783660851,-0.0170722647253765,-0.0186092485032012,-0.0046294209676753,0.0243297745786684,-0.0252472254722997,-0.0019817858009808,0.0120437781888613,0.0177709690763464,0.0137214239629374,0.0084093360629103,0.0102677004115341,0.0084581150167568,-0.0124436937857163,MISSED
4,0.0479719107,0.1406226917,0.1885946024,0.0,0.0,0.0,0.254345,0.0,-7,1,6000,-10.74883858501806,-1.5733345718239191,-0.5639975591445465,0.4721322730014293,0.2247826784687233,-0.4207334407914955,0.524901263943949,-0.0699469978853563,0.0293378667546336,-0.0055048877119025,0.0646283783817237,-0.160227857407276,0.0580988466894618,-0.0257020055810714,-0.0946156574069249,-0.0129957935319592,0.0116461940528009,-0.0046716430815534,-0.0010285064334421,0.0315015070727469,-0.02062596251251,0.0218218555084438,0.0069314108918274,-0.008515809580503,0.0128815584963905,0.0252699077235273,0.0198345042965592,-0.0086392745719474,-0.012521425329338,0.0009712620648485,0.0044003143066625,-0.009916439925141,0.0031379755749472,0.0009767221539211,-0.0044848687631692,-0.0113407931576249,0.0193360807151576,0.0167312685963708,0.0009360877240874,-0.0057507191086319,CAPTURED
2,0.0525453245,0.1343463083,0.1868916327999999,0.105082147717939,0.0371624466309673,0.0553998263817228,0.223284,0.0,-7,1,7000,-10.679183135233265,-1.6023503409070856,-0.4945309570825589,0.4177216197206407,0.3428863596252319,-0.4502252536251754,0.5185421552322208,-0.1067963071643033,0.0692235942670664,-0.008914428613282,0.0079839128573524,-0.1524090942767988,-0.0159901244203169,-0.037914515782672,0.0077067331887449,0.0622958515423166,-0.0026112334916197,0.0155754615248701,0.0047828518379259,0.0698932138511514,0.0014973081415384,0.0253685148965717,-0.0134311968522543,0.0023394039164496,-0.0208488004301058,0.0501363556718676,0.0105837758659964,-0.0199818534267473,-0.0224509433807384,-0.0068519503935496,0.0278426977877343,-0.0269693253897781,-0.0027859100297924,0.0164553649900484,0.0210539873952646,0.0168222941693091,0.0084785963130673,0.0130488481466091,0.0076639459786749,-0.01418160216227,MISSED
4,0.047548795,0.1295325614,0.1770813564,0.0,0.0,0.0,0.223284,0.0,-7,1,7000,-10.73281355155163,-1.603634935035145,-0.5660218722915089,0.4244327904302714,0.2534875863849879,-0.4534378574362185,0.5311032942223363,-0.0860694762137496,-0.0051752525467324,-0.0037371839848679,0.0614806986974938,-0.170078900471134,0.048719452125744,-0.0230585870837061,-0.0835643557187347,-0.0095585813159704,0.0236142418491704,-0.0107745793652838,0.010252541794135,0.0404608711374508,-0.0200695303207696,0.0257213308040179,0.0181555651348868,-0.0090096312237302,0.0098232842735877,0.0281617432080567,0.0178996009437026,-0.0116871513921581,-0.0151804836907654,-0.0014946854986025,0.0058467410638738,-0.0110901269760098,0.0018815518971409,0.0045598105742009,-0.0020445866814472,-0.0109698223034644,0.018843617516919,0.0191017017843866,-0.0014232755638634,-0.0070956540995963,CAPTURED
